Timestamp	How did you get to this poll?	Which one are you?	When did you get into Yohaji?	What got you interested in Yohaji? (Optional)	Your NUMBER 1 favorite character?	Your other faves? (Around/up to 3)	Favorite character dynamics? (Around/up to 3)	Gush about your faves here!	Who were your favorite character(s) initially? (If it's not the same as your current faves)	Bonus question: Did you answer the 2022 poll?	Anything else you want to say?	no1	top3	Mentioned	when	reason	reason - character	og fav	wordcount	ships	Column 23	Column 24	Column 25
12/26/2024 13:37:01	Twitter	Manga reader	2022	Characters, Similar to Iruma	Sano Mikoto	Fuji touya	Teacher sanbaka			No		Sano	Fuji		2022	Characters			1	Teacher trio			
12/26/2024 13:38:33	Twitter	Manga reader	2019	I was browsing at my local bookstore to look for a new series to read, when I stumbled upon Yohaji. I like youkai stories so I decided to get it, and then I fell in love 😭💖 I love comedy and youkais, so it really was up my alley (*´・ｖ・)✨	Fuji ❄	Ogoso, Sano & Haruaki 	Fuji & Ogoso (besties/ship); Sano & Mame (besties/ship) ; Haruaki, Miki & Hatanaka (trio/besties) 	Funny thing is Sano was my number one when I started reading Yohaji, and when volumes 5 and 6 came around I truly just adore Fuji and Ogoso 😭💖 Like their dynamic is sooo cute! And especially how in a way both of them are not close to anyone in class at the start. I'm so happy they like found comfort with one another and are soo protective with each other too!!! 😭😭😭😭💕 		No	Thank you for makinh this survey! It's my first time participating and I'm so glad I found your acc 😭💖 I can't wait to see the end results ≧▽≦y	Fuji	Ogoso, Sano, Haruaki	Sano, Fuji, Ogoso	2019	Supernatural, Bookstore			73	Fuji & Ogoso, Sano & Mame, Teacher trio			
12/26/2024 13:38:53	Twitter	Manga reader	2024, irrelevant to anime announcement	My friend recommended it to me!	Tamae Akisame	Akira Takahashi, Rintarou Miki, Touya Fuji	Tamae Akisame and Rensuke Nyuudou, Haruaki Abe and Rintarou Miki, Haruaki Abe and Amaaki Abe	I love Tamae a lot. He has his moments, and his dynamic with Renren is adorable!!!! He has amazing character motivation, and how he looks up to Haruaki is truly beautiful. I love him when he's either full-nekomata or more humanoid. Beautiful design!!!!!!<br><br>Fuji is beautiful. I love his relationship with Ogoso, him being  one of the few that knows his true personality/what his face looks like. I like his youkai power a lot, either it be when it's useful or when it's a gag. I also love how him being a crossdresser isn't stigmatized by the people around him!	Beniko Zashiki	No		Tamao	Takahashi, Rintarou, Fuji	Tamao, Fuji	2024, irrelevant to anime announcement	Recommend by friend		Beniko	99	Tamao & Nyuudou, Haruaki & Rintarou, Abe twins			
12/26/2024 13:40:40	Discord	Manga reader	2022	My tumblr mutual, Atlas reblogged some memes, I tracked down the series, and started reading 	Kuniko Utagawa	Haruaki Abe, Akira Takahashi, Sano Mikoto	Haru & Miki & Hatanaka, Sano & Hijita & Beniko & Mame, Ren & Tama & Kuniko & Mujina	Kuniko is literally the best girl and I love and adore her so much she is my daughter, move over Akira	Mame, Beniko, Hijita	No		Kuniko	Haruaki, Takahashi, Sano	Kuniko	2022	Recommend by friend		Mame, Beniko, Hijita	21	Teacher trio, Sano friendgroup, Tamao & Nyuudou & Kuniko & Mujina			
12/26/2024 13:41:01	Twitter	Manga reader	2021	I love supernatural, especially one related to Japan. That's how I come across yohaji	Ogata Twin	Principal, Haruaki	TOP CHOICE IS DEFINITELY THE TEACHER TRIO. Then principal and ranmaru. And lastly, Haruaki sensei with the students	if I gush about them, you will need at least 7 days to read. So I am not gonna gush hshshshhssh		No	THANK YOU VERY MUCH FOR TRANSLATING THE TIDBITS. YOU ARE A LIFE SAVIOR. MAY YOU BE BLESSED WITH GREAT FORTUNE AND LOVE	Ogata	Principal, Haruaki		2021	Supernatural			21	Teacher trio, Principal & Ranmaru			
12/26/2024 13:42:59	Twitter	Manga reader	Post anime announcement (Dec 2023 - Oct 2024)	mame cv tanie reo i love tanie reo	mame	miki, fuji, oota				No		Mame	Rintarou, Fuji, Oota		Post anime announcement (Dec 2023 - Oct 2024)	Voice Actors			1				
12/26/2024 13:43:27	Twitter	Read the manga after seeing the anime	Post anime release (Oct 2024 - now)	映画の内容 	美樹凛太郎！！！	うーん...よくわからない 	ミキ、フジ、尾形兄弟		ミキ 	No	ミキの彼女の好みが知りたい:>	Rintarou			Post anime release (Oct 2024 - now)	Anime			1				
12/26/2024 13:45:39	Twitter	Read the manga after seeing the anime	Post anime release (Oct 2024 - now)	First episode of the anime seemed interesting so I read all English volumes released! 	Haruaki Abe 	Abe no Seimei, Sano Mikoto, and Ashiya Douman 	Any interaction between the listed 3 characters! 	Haruaki is just so precious!! Thank you for making this poll so I can vote for him!! 	Same 	No	Thanks for all your Yohaji content, you are the series strongest soldier and I truly appreciate it!! 🫡	Haruaki	Seimei, Sano, Principal	Haruaki	Post anime release (Oct 2024 - now)	Anime			17				
12/26/2024 13:47:54	Twitter	Manga reader	2020	Accidentally stumbled the manga series online, get hooked since then	Haruaki	Akisame, Fuji, Abe no Seimei	(Haruaki & Rintarou & Izuna), (Akisame & RenTen), (Yoseito Trio)	I love how Haruaki character development progress parallel how the story development from full on gag manga plot to actually having serious plot with side gag time to time. From a pathetic full comedic relief main character that has no friend, Haruaki developed into became more confident and strong heart while still remain being funny and lovely while surrounded by people that love him who he js. I love how Akisame feel like just another funny student that keep failing at first but becoming studious and admire Haruaki which inspire him to be a teacher. He also have consistently shown to really care for him and I found it so cute and touching. I love Fuji because he so cool(no pun in tended) and I love how confident he carry himself and how comfortable he is with his cross dressing hobby. I also love his relationships with Ogoso, I think Tanaka sensei really good at making appealing dynamic✨️		No	Thank you so much for all of your tls! Thanks you we didn't miss any other important lore that got cheekily sneaked into the twitter doodle.	Haruaki	Tamao, Fuji, Seimei	Haruaki, Tamao, Fuji	2020				158	Teacher trio, Tamao & Nyuudou, Yoseito trio			
12/26/2024 13:52:38	Tumblr	Manga reader	2023	Got interested in a troupe of a teacher teaching in a different species school because most of the time that troupe revolves with the student as the main character	Haruaki	Satsuki, Haruaki, Seimei	HaruMikiHata (trios), Ashiya/Ranmaru(ships), Haruaki and his students  like a big happy family	I want to squish the Abe family on their cheeks like they're stretchy moshi	Momoyama, Hijita, Hatanaka	No	👾	Haruaki	Satsuki, Haruaki, Seimei		2023	School life		Momoyama, Hijita, Hatanaka	14	Teacher trio, Principal & Ranmaru			
12/26/2024 13:54:54	Twitter	Read the manga after seeing the anime	Post anime release (Oct 2024 - now)		Haruaki 	Sano, Takahashi , Mame 	Sanoharu(ship) , sanomame(ship and platonic) , mikiharu, the full class X haruaki (platonic) 	God i love haruaki so much. I would love to know more about ranmaru and Douman and seimei. The cunt trio. 		No		Haruaki	Sano, Takahashi, Mame	Haruaki, Ranmaru, Principal, Seimei	Post anime release (Oct 2024 - now)				21	Haruaki & Sano, Sano & Mame, Haruaki & Rintarou			
12/26/2024 13:57:46	Twitter	Anime-only	Post anime release (Oct 2024 - now)	It's more of a seiyuu thing so I watched it because protag is voiced by my fave voice actor :) I gradually loved it as I was watching the series.	Sano-kun lol (Sano Mikoto)	Fuji Touya (really curious of them hehe), Abe brothers	ngl Idk the current ships in current manga or in fandom in general but I really enjoyed SanoHaru, Abe Amaaki's brother-complex and the whatever the relationship behind the Principal and Seimei I think			No	I saw your ppt tweet so I somewhat have a clearer idea on this universe as an anime-only. Thanks for that and other translation works too!	Sano	Fuji, Haruaki, Amaaki		Post anime release (Oct 2024 - now)	Voice Actors			1	Haruaki & Sano, Abe twins, Principal & Ranmaru			
12/26/2024 13:59:11	Tumblr	Manga reader	2023	that powerpoint on tumblr	TAKAHASHI	the principal, miki rintarou, fuji touya	fucked up (/pos) found family of takahashi. found family more like forced family. tfw u find random souls in hospitals and make them yours	OUGH TAKAHASHI HES SO CUNTY. HIT THE SLAY BUTTON FR. the takahashi selfcest picture made us explode btw	still takahashi	No	i had sth to say but was distracted by the word "cuntenserven" and forgor	Takahashi	Principal, Rintarou, Fuji	Takahashi	2023	My powerpoint?!			18	Takahashi & Yamazaki & Kuniko			
12/26/2024 13:59:22	Twitter	Read the manga after seeing the anime	Post anime release (Oct 2024 - now)	the genre and artstyle + a friend of mine had mentioned it before	fuji touya	ogoso saguru , akisame tamao , kashima ryouta	fujigoso , gakutai , sanoharu	I LOVEEEBEUDHD FUJI N GOSO SO MUCH but douman n suzaku have such a good dynamic too n theyre so silly omg HEDJEUF	akisame tamao	No	i love fujigoso	Fuji	Ogoso, Tamao, Kashima	Fuji, Ogoso, Principal, Ranmaru	Post anime release (Oct 2024 - now)	Supernatural, Art style, Recommend by friend		Tamao	23	Fuji & Ogoso, Principal & Ranmaru, Haruaki & Sano			
12/26/2024 13:59:37	Tumblr	Read the manga after seeing the anime	Post anime announcement (Dec 2023 - Oct 2024)	I had seen posts about it before on tumblr, and I do enjoy other mangas from the same magazine so it was on my to read list, after watching the first episode of the anime I finally decided to actually read it and ended up binging the whole manga in two days, amazing, 10/10, forced my best friend to read with me	Principal/Douman	Haruaki, Sano and Izuna	Class 2-3 in itself is my most beloved, be it on the school festival or on the 'rescuing renren arc', they always bring me joy. Of course, the principal and Ranmaru are right up there and I mean it both in the 'thats a great ship' and on the 'this realtionship doesn't even need to be a ship for it to intrigue me' kind of way, amazing characters. I also adore Haruaki, Izuna and Miki friendship, teachers friendship my beloved, the chapter where Haruaki sees a world where he is a student and, therefore, not their friend was absolutely amazing (and also hit very differently after Meiji Romance)	Principal my beloved, his smile when he told Haruaki he just wanted to show Seimei all he acomplished after a thousand years quickly became one of my favorite manga scenes ever. 	Actually, it didn't change much, I guess Izuna is the only that moved up quite a bit along the way, at first, I would have put Mame above him, but since the bar scene where he talked abou already being friends with Haruaki, he's been one of my favorites (I do enjoy mysterious masked characters so... the principal was a point of interest since day one)	No	Thank you very much for all the translations and all the hard work, also, sorry if there's anything kinda weird on my responses, english isn't my first language!	Principal	Haruaki, Sano, Hatanaka	Principal	Post anime announcement (Dec 2023 - Oct 2024)	Anime			31	Principal & Ranmaru, Teacher trio			
12/26/2024 14:01:15	Twitter	Manga reader	2023	Por el arte de Haruaki con Hanako, y me pareció guapo lol	Haruaki	Amaaki, Fuji, Seimei	Gakutai, Amaaki & Haruaki		Haruaki	No	Gracias por traducir Yohaji	Haruaki	Amaaki, Fuji, Seimei		2023	TBHK collab			1	Principal & Ranmaru, Abe twins			
12/26/2024 14:08:14	Twitter	Manga reader	2017 or Older (even before the English released)	Yes	Marshmallow (hehehe)	Izuna-sensei, Fuji-kun, Beniko	BL and GL ships, love Haruaki's friendship circle or the the adult friendship circle in generals, the cutie male students 	I love the furry mascots the most (Mame, Izuna, and Tama), but I also want to gush over Fuji-kun and Ogoso too. 	Mame or maybe Marshmallow (I followed Tanaka Mai even without knowing what's the manga about due to her mascots). 	Yes	Marshmallow forever! I want a plushie available I'm Shoppee or Lazada!	Marshmallow	Hatanaka, Fuji, Beniko	Mame, Hatanaka, Tamao, Fuji, Ogoso	2017				22	Teacher trio			
12/26/2024 14:08:17	Tumblr	Manga reader	Post anime announcement (Dec 2023 - Oct 2024)	I actually forgot how i got into yohaji but i remember seeing the summary hook me and i start reading the manga.	HARUAKI MY WIFE	Hard question but 1.sano 2.ebisu 3.ame	Ebiharu, harusano, ranmaru and principal duo	I have nothing much to say but i really love haruaki so much. He not just pretty, he smart (even tho always pathetic it's ok because he's my wife), he also have a side that have me on my knees anyways haruaki on top!	Sano 	No		Haruaki	Sano, Ebisu, Amaaki	Haruaki	Post anime announcement (Dec 2023 - Oct 2024)			Sano	44	Ebisu & Haruaki, Haruaki & Sano, Principal & Ranmaru			
12/26/2024 14:08:34	Discord	Manga reader	2024, irrelevant to anime announcement	Tiktok 	Karasuma Ranmaru	Ashiya Douman, Abe Haruaki, and Maizuka Mamekichi	Gakutai, Heian trio, and Heian gumi	He's so pretty, but I think it's because I like him so much that he looks that pretty.<br><br>I'm obsessed because Ranmaru can be so, pretty, cute, cool, but he's a loser, and I don't know what he's thinking which is why he's totally my type. He is also an M.<br><br>Suzaku is a total swamp.<br><br>I NEED TO KNOW EVERYTHING ABOUT HIM, ASAP!	Mame 🥜	No	This is fun.	Ranmaru	Principal, Haruaki, Mame	Ranmaru	2024, irrelevant to anime announcement	Tiktok		Mame	61	Principal & Ranmaru, Heian trio			
12/26/2024 14:08:47	Tumblr	Manga reader	2023	I read up to the school festival arc at some point for some reason, I don't remember why. It might have been because a mutual of mine drew Ogoso and Fuji? I liked it but didnt keep up with it so when I saw the anime announcement I decided to reread from the beginning and catch up completely. I only saw the anime announcement because I'd already been following youkaigakkou-tl for several months and had been microdosing on yohaji until then. Your blog really helped me psyche myself up to pick it up again. 	Haruaki	Worldly desires+athleticism Haruaki, gross-Aki when he sees a sailor uniform, Principal	Sano and Mame. Renren and Tamao. Takahashi and Kuniko (im really just charmed that he runs an orphanage and did so much to support Kuniko, and Kuniko who wants to call him 'dad' some day even though he probably wouldnt expect that at all)	Haruaki... 🥺✨️❤️✨️✨️🥺❤️🥺❤️🥺✨️✨️❤️YOU CAN FIT SO MUCH LOVE IN THAT GUY. Guy who is devastatingly loyal. Guy who inspires devastating loyalty. Guy who wants friends so so bad, who is so so lonely, who throws his everything at his newfound relationships because he's just so damn happy that he HAS connections now. Million-watt smile, lighting up the lives of everyone around him. He is the literal sun.<br>Principal for the Yearning. For working so hard, for a thousand years, to beat/impress someone who's not there anymore. For selfishly dragging Haruaki into this thousand year feud so he can show the results of his efforts, even though he's on the side that staunchly insists that Haruaki is not Seimei. For bearing the guilt of Seimei's murder, as well as the guilt of Ranmaru's turning into a youkai. Even though Haruaki doesn't believe him, and Ranmaru insists it was his own choice.<br>Ranmaru WOULD be on my favorites list if we knew more about him. He's so closed off I can't get a read on him.	Miki, for his face. And Abe no Seimei, also for his face.	No	Geugh..ugh. gross sobbing. Im love haruaki sm. 	Haruaki	Listless Haruaki, Principal	Haruaki, Principal, Ranmaru	2023	Characters	Ogoso, Fuji	Rintarou, Seimei	171	Sano & Mame, Tamao & Nyuudou, Takahashi & Kuniko			
12/26/2024 14:11:01	Twitter	Manga reader	2023	Saw a TikTok talking about “a manga with a freakily handsome Yokai doctor”, but I didn’t record the name. Then on a seperate occasion, while scrolling through Anime Planet, I came across Yohaji. I was actually unaware that it was the same manga, but I started Yohaji cause the premise interested me, while still trying to look for that mystery “freaky doctor” manga. Only to realise it was indeed Yohaji lmao	Miki	Haruaki, Nyuudou, Ranmaru	I really enjoy the relationship between Haruaki, Hatanaka, and Miki trio!!			No		Rintarou	Haruaki, Nyuudou, Ranmaru		2023	Tiktok			1	Teacher trio			
12/26/2024 14:11:06	Twitter	Manga reader	2024, irrelevant to anime announcement	Forgot, was sitting in my to-read for like a year	Rintarou <3	In order, Haruaki, Acchan, Hatanaka	Mikiharu forever, teacher trio, hatanaka couple	Rintarou is the best even his tears are beautiful I'll love chapter 49 forever 	Rintarou, Mame, Beniko	No	Haruaki's creepiness is his charm	Rintarou	Haruaki, Principal, Hatanaka	Rintarou	2024, irrelevant to anime announcement			Mame, Beniko	14	Haruaki & Rintarou			
12/26/2024 14:11:07	Tumblr	Manga reader	2018	Honestly thought the premise was like Assassination Classroom, before getting charmed by Haruaki in the very first chapter.	Abe Amaaki	Abe Haruaki, Mikoto Sano, Hijita	Sano and Haru, The teacher trio, The Abe Family		Haruaki, Sano, Mame	No		Amaaki	Haruaki, Sano, Hijita		2018	School life, Characters	Haruaki	Haruaki, Sano, Mame	1	Haruaki & Sano, Teacher trio, Abe family			
12/26/2024 14:14:15	Tumblr	Read the manga after seeing the anime	Post anime release (Oct 2024 - now)	I watched the anime because it looked silly and slice of life. Then I read the manga when I heard that it was pretty different from Ep1.	Tied between Abe Haruaki and Nyuudou Rensuke	Miki Rintarou, Takahashi Akira, Sano Mikoto	Abe Haruaki x Miki Rintarou (Ship), The Animal Youkai Trio (Hatanaka, Tamao, and Mame), Gakutai (Principal x Troupe Captain (Ship))	You don’t understand how much I will defend Haruaki and Nyuudou with my life. Haruaki is not right in the head and probably the true antagonist of the series but he’s just a silly guy with an obsession with sailor uniforms. Nyuudou is perfect in every way this boy is such a gentleman and loves his friends so much. You have no idea how much I cried during the Renren arc.	Maizuka Mamekichi (still love him but I just love the others more)	No	I also love Hatanaka x Ibara and I really wish they get more screen time. 	Haruaki	Rintarou, Takahashi, Sano	Haruaki, Nyuudou	Post anime release (Oct 2024 - now)	Anime		Mame	71	Haruaki & Rintarou, Yoseito trio, Principal & Ranmaru			
12/26/2024 14:15:32	Tumblr	Manga reader	2021	Comedy featuring yokai	mandragoras	haruaki, fuji, miki	Seimei and sailor uniforms, Sano and Haruaki, Takahashi sensei and his patients	When will we get giant mandragora plushies! :'(		No		Mandragora	Haruaki, Fuji, Rintarou	Mandragora	2021	Comedy, Supernatural			8	Seimei x sailor uniforms, Haruaki & Sano			
12/26/2024 14:18:57	Tumblr	Manga reader	2023	I think I liked how refreshing it was since most of the time protagonists like Haru are put down for being weak or pathetic but as you read through the manga, he’s actually one of the most moral and strong people with their own willpower and strength (excluding his powers) despite being surrounded by others who would typically squash him like a job.  It’s also nice to find another supernatural manga that explores Japanese folklore and the different yokai, plus even the supporting characters feel so fun and not just 1 dimensional. In short, I like how at the end, everything feels a fun layered cake that you peel away to get to the diamond. (Sort of like gintama or enstars😅)	Haru!!	Takahashi, Ame (I kind of want him to appear more in the manga so he can just watch him mix with the freakiness of the class and the yokai world), the principal	The potential ships (Miki/Haru, Fuji/Ogoso, Seimei/douman), the bond between Haru and the class, our idiot trio, family and basically everybody😅	Haru is one of the cutest babies ever! (Why do I feel like Ame or Mama/Papa-Aki just said this )	Miki, hatanaka and our shitty/money loving troupe captain 🐦‍⬛	No	I kind of want to see what happens if Haru ends up in a horror movie set up like Annabelle or Ju-on, will he just become anti-ghost/demon repellent and exorcise the curse/evil on sight? <br>Though it would be probably more hilarious if the evil is trying to get to him but Haru being Haru just evades everything in a comedy montage.	Haruaki	Takahashi, Amaaki, Principal	Haruaki	2023	Characters, Supernatural	Haruaki	Rintarou, Hatanaka, Ranmaru	20	Haruaki & Rintarou, Fuji & Ogoso, Seimei & Douman			
12/26/2024 14:18:57	Discord	Manga reader	Post anime release (Oct 2024 - now)	the art style was really nice and i enjoyed the character designs a bunch	ranmaru karasuma	the principal, ebisu, and takahashi	the principal and ranmaru, sano and haruaki, and seimei with ranmaru	i love ranmaru so much he’s so silly yet he holds a burden (?) that the readers dont know yet. he’s one of the characters that we dont know their backstory about, which makes me curious to find out. i also love ebisu a bunch too. i love his personality and im very curious on what happened between him and sano	miki was originally my top favorite until the four characters i listed overshadowed him	No		Ranmaru	Principal, Ebisu, Takahashi	Ranmaru, Ebisu	Post anime release (Oct 2024 - now)	Art style		Rintarou	61	Principal & Ranmaru, Haruaki & Sano, Seimei & Ranmaru			
12/26/2024 14:20:26	Twitter	Read the manga after seeing the anime	Post anime announcement (Dec 2023 - Oct 2024)	At first, I see the anime trailer on July 2024 on Insta. At that time I got intrested to Yohaji 'cause it seem to be a comedy anime. So on November I decided to watch it and of course it was a good anime. Then I found a post on insta that showing Yohaji manga(chapter 48 the Shutendouji arc) then I'm a little curious and read the manga online. To be honest, I'm not a manga reader and I had no read any manga, but I don't know why this anime makes me interest to read the manga. Above my expectations, Yohaji is not only a comedy manga, it has heartwarming scene and serious scene. From that, I really like Yohaji especially I really love Haruaki ><. Sorry I text to much 'cause I really love Yohaji ♡♡	Abe Haruaki	Abe no Seimei, Principal(Ashiya Douman), and Marshmallow	Haruaki and Sano, Haruaki and Seimei, Ebisu and Ame, Principal and Ranmaru, Ame and Hatanaka, Miki and Marshmallow, etc	Haruaki makes people happy and comfortable with him. I loves his "peacefully" motto. I can't explain, but I really like his personality and his character development. 	The same as my current faves, Haruaki-kun as always ^^	No	I'm very grateful 'cause there is many people that likes Yohaji. I hope oneday I could meet someone who has a big interest in Yohaji, so I could always talks about Yohaji. Thanks for you who translate Mai Tanaka twitter so I can know the meaning ^^. Your post translate of Mai Tanaka twitter is one of the factor that made me want to know Yohaji more. Thanks for your all hardwork!	Haruaki	Seimei, Principal, Marshmallow	Haruaki	Post anime announcement (Dec 2023 - Oct 2024)	Anime			26	Haruaki & Sano, Haruaki & Seimei, Ebisu & Amaaki, Principal & Ranmaru			
12/26/2024 14:37:10	Tumblr	Manga reader	2023	Haruaki, the plot twists, the unhinged yet wonderful humour in it and the magnificent storyline. I like how the author gives us an indepth intel on every character whether minor or not. I'm really excited for wtv the author is planning for the Ebisu and Kurahashi arc. 	HARUAKI OBVIOUSLY!!!	Miki, Akira and Sano	Haruaki x Miki  Fuji × Ogoso Momoyama x Yanagida  I liked Kurahashi x Toubyou too but seeing the current flow of the story I don't think that'll be possible.	I feel like Momoyma x Yanagida is really underrated for some reason T.T . They're quite canon for me. Takahashi and Yamazaki reminds of Buddy Daddies with Utagawa as Miri.	Fuji, Tamao and Mame (and everyone else)	No	Thank you so much for your translations, I'm really grateful to you for them and I was overjoyed and happy finding your page on Tumblr, I make sure to check every week to see new updates. I wish you the very best hope you had a lovely Christmas and Happy New Year in advance.	Haruaki	Rintarou, Takahashi, Sano	Momoyama, Yanagida, Takahashi, Yamazaki	2023	Characters, Comedy, Story	Haruaki	Fuji, Tamao, Mame	30	Haruaki & Rintarou, Fuji & Ogoso, Momoyama & Yanagida			
12/26/2024 14:37:40	Tumblr	Manga reader	2021	Big fan of yokai media ^_	Mr Haruaki Abe	Miki and tamao...my cutesits...	idk what those trio r called but I love my stupid teachers friendships (haru Miki n Hatanaka) I also love harumiki in shippy way ^_^			No		Haruaki	Rintarou, Tamao		2021	Supernatural			1	Teacher trio, Haruaki & Rintarou			
